num_bin	roi	prf_ecc_bins	prf_pcm_bins_median	prf_r2_bins_median	prf_pcm_bins_median_upper_bound	prf_pcm_bins_median_lower_bound	prf_pcm_bins_median_lower_bound_ci	prf_pcm_bins_median_upper_bound_ci
0	V1	0.0881600007414817	18.318068542464427	0.08732947935882565	28.582206757673006	1.950568479827046	13.609565671713423	18.877640330160176
1	V1	0.1359592378139495	15.49603854000476	0.11042696	33.06955227331211	4.112009436812345	13.628128625700995	17.51310671367773
2	V1	0.2240000069141388	18.350312858878954	0.1391112804412841	34.35957421211091	7.56567467014061	16.086310828400833	18.686763382874748
3	V1	0.3448129296302795	14.544846599634758	0.20221147537231443	21.951590320499527	7.5072678715539345	13.319594950758246	14.595218673641488
4	V1	0.5681135654449463	11.667118312582884	0.28757852554321284	17.60703845773665	8.054278882184345	10.643606234697758	11.674146128965535
5	V1	0.917498767375946	8.468278851483268	0.3565494537353516	10.972317586900887	6.336943530140314	7.96312971946818	8.481872640345262
6	V1	1.5060404539108276	6.001842812752979	0.4596455001831054	7.832355905116319	4.614068822118855	5.855980647080783	6.081354727244168
7	V1	2.441246509552002	4.196471527601196	0.5229641342163086	5.387710852230622	3.28302970160597	4.063810007551993	4.39050836886139
8	V1	3.9477589130401607	3.017958929989337	0.548289794921875	3.725664592876044	2.35603210503554	2.950395482824723	3.058051607085392
9	V1	5.700385570526124	2.357504308577768	0.5271483993530274	2.852560968927761	1.8701569584178337	2.3053570177921583	2.3999650475033656
0	V2	0.0810270681977272	21.821110075007123	0.1000334644317627	35.49624808389568	2.822026778562757	17.901764980146222	22.06163288811335
1	V2	0.1387901604175567	22.32412252229349	0.12778485298156733	37.69133681076411	9.627987046204757	19.612419948544506	23.528735733663083
2	V2	0.2240000069141388	23.723928778348306	0.1712229251861572	36.58406716345237	9.862592674786084	20.988602902663384	24.314173232747677
3	V2	0.3456462323665619	19.324155328309622	0.2351187753677368	29.516298757038328	11.463319091339317	17.87874780117979	19.554444911819253
4	V2	0.5661939978599548	13.35365508244726	0.3311983489990234	18.170698831394017	9.18676327916572	12.843925131975366	13.480848585617665
5	V2	0.9204326868057252	9.435187110888243	0.4147116470336914	12.81352379104622	6.651106012136827	8.87443305413445	9.614543599605518
6	V2	1.5016324520111084	6.742554918067308	0.4916024780273437	8.74528452990933	4.9994098260270174	6.310444720526236	6.810230536347323
7	V2	2.4125516414642334	4.518293964123266	0.5285516357421876	5.871638321041065	3.422101254979519	4.360995122007132	4.669440780688944
8	V2	3.913985967636109	2.9399934777605994	0.5413410568237305	3.656726871279744	2.389146010553418	2.874464512879862	3.027458359788746
9	V2	5.714036464691162	2.3410550010374807	0.5206996154785156	2.748855223563298	1.827008059212399	2.271049867349573	2.3881700962046613
0	V3	0.0881600007414817	20.14357375442772	0.147740306854248	36.3034042951661	10.559433606831265	16.65581172710327	21.20639962691488
1	V3	0.1445204466581344	22.649732862767983	0.17435375213623044	40.8332280274823	8.108131598292418	18.97660826577932	24.438628744966177
2	V3	0.226507768034935	23.638005913052407	0.220204002142334	35.00775838484499	9.160840499094792	21.19378123172113	24.338087271490586
3	V3	0.3460705280303955	20.89867612551414	0.2755800533294678	28.080039486854705	12.404434231252209	19.32805423620066	21.17154735272924
4	V3	0.5625231862068176	14.794932460942103	0.3503424072265625	19.54794141360308	10.635409567878478	14.264308818055191	15.048968092778155
5	V3	0.9165378212928772	10.160795380368292	0.4171737289428711	13.670109228663238	7.570716997759805	9.769466109346135	10.368018489654359
6	V3	1.490989327430725	6.843808412602027	0.464183349609375	8.677891918027964	5.291929571941931	6.524359036989137	6.9729692158178525
7	V3	2.3750908374786377	4.406130622649286	0.5004233169555664	5.686051578283217	3.25428238680108	4.257504976259556	4.484599909538067
8	V3	3.894204378128052	2.863497651532451	0.4938766479492187	3.48743790475091	2.3040040108501887	2.8142397276733515	2.922767028850145
9	V3	5.691385269165039	2.216175600351116	0.4676248931884765	2.783484852954991	1.7575830458906656	2.144632444236781	2.2657854931519323
